Sate,R10,R1019,R2039,R4059,R6079,R80,U10,U1019,U2039,U4059,U6079,U80
Andhra Pradesh,15.8,18.3,34.6,21.9,8.9,0.7,15.5,16.6,36.1,24.7,6.7,0.4
Assam,21.2,21.9,34,16.9,5.6,0.5,15.4,17.3,38.8,22,6.1,0.5
Bihar,24.7,24.7,28.7,14.9,6.3,0.5,20.2,22.7,32.3,17.6,6.7,0.5
Chhattisgarh,21.6,19.7,33,18.4,6.9,0.4,17.5,19.3,36.2,20.7,6,0.4
Delhi,20.7,20.7,37.3,15.7,4.9,0.5,17.9,19.1,38.3,18.7,5.5,0.5
Gujarat,18.8,20.3,32.7,19.6,8,0.7,16.8,17.5,36.9,21,7.1,0.7
Haryana,19.5,21.6,34.4,17.3,6.5,0.8,18.3,19.6,35.9,19.7,6.1,0.6
Himachal Pradesh,16.7,18.4,33.2,21.2,9.1,1.4,13.2,17,34.6,26.5,7.8,0.9
Jammu & Kashmir,16.8,21.2,35.7,18.4,7.2,0.9,12.3,16.5,38.2,23.1,8.9,0.8
Jharkhand,21.9,24.4,31,16.3,6.1,0.5,17.7,20.8,35.2,19.2,6.4,0.5
Karnataka,17,19.1,34.3,20.8,8.1,0.7,16.3,17.4,37.5,21.4,6.9,0.6
Kerala,15.1,15.8,30.9,25.6,11.1,1.5,14.8,15.5,30.9,26.5,11.2,1.2
Madhya Pradesh,21.4,22.8,32,16.6,6.6,0.5,18.1,20.3,35.5,19.1,6.4,0.5
Maharashtra,18.9,19.4,31.5,19.7,9.4,1,16.6,17.1,37.3,21,7.2,0.6
Odisha,18.1,20,32.7,19.7,8.7,0.8,15.4,18.1,36.2,22.2,7.4,0.7
Punjab,16.5,19.2,34.4,19.9,8.7,1.3,16.9,17.4,35.2,21.7,8,0.8
Rajasthan,21.6,23.9,31.9,15.5,6.6,0.7,18.1,20.5,35.3,18.8,6.7,0.7
Tamil Nadu,15.7,16.4,33.9,23,10,1,14.8,15.2,36.1,23.9,9.2,0.9
Uttar Pradesh,22,25.3,30.9,14.9,6.4,0.6,18.3,22.4,35.3,17.4,5.9,0.5
West Bengal,17.4,20.4,34.8,19.9,7,0.6,12.8,15.4,36.3,25.3,9.3,1
All-India,19.8,21.7,32.4,18.1,7.5,0.7,16.5,18.2,36.1,21.2,7.3,0.7
Average,19.1,20.7,33.1,18.8,7.6,0.8,16.3,18.3,35.9,21.5,7.3,0.7
,,,,,,,,,,,,
