No,State,Health,Education,Income,Gender Dev
11,Kerala,0.836,0.697,0.758,0.764
5,Goa,0.792,0.654,0.845,0.764
14,Manipur,0.762,0.635,0.707,0.702
17,Nagaland,0.719,0.647,0.734,0.7
13,Maharashtra,0.699,0.596,0.773,0.689
16,Mizoram,0.695,0.642,0.728,0.688
22,Tamil Nadu,0.682,0.566,0.75,0.666
25,West Bengal,0.668,0.533,0.726,0.642
19,Punjab,0.665,0.561,0.777,0.668
21,Sikkim,0.657,0.61,0.728,0.665
23,Tripura,0.643,0.611,0.733,0.663
8,Himachal Pradesh,0.634,0.598,0.771,0.667
10,Karnataka,0.632,0.504,0.73,0.622
2,Arunachal,0.624,0.606,0.712,0.647
28,Uttarakhand,0.624,0.607,0.726,0.652
7,Haryana,0.604,0.533,0.792,0.643
9,Jammu & Kashmir,0.601,0.483,0.686,0.59
6,Gujarat,0.599,0.545,0.757,0.634
27,Jharkhand,0.594,0.447,0.683,0.574
1,Andhra,0.588,0.434,0.733,0.585
15,Meghalaya,0.562,0.612,0.713,0.629
4,Bihar,0.542,0.403,0.575,0.507
20,Rajasthan,0.527,0.415,0.681,0.541
26,Chhattisgarh,0.523,0.429,0.696,0.549
3,Assam,0.495,0.607,0.682,0.595
24,Uttar Pradesh,0.49,0.459,0.636,0.528
18,Orissa,0.474,0.463,0.674,0.537
12,Madhya Pradesh,0.461,0.47,0.656,0.529
,,0.621142857,,,
