"State","District","Level","Name","TRU","No of Households","Total Population Person","Total Population Male","Total Population Female","Population in the age group 0-6 Person","Population in the age group 0-6 Male","Population in the age group 0-6 Female","Scheduled Castes population Person","Scheduled Castes population Male","Scheduled Castes populationFemale","Scheduled Tribes population Person","Scheduled Tribes population Male","Scheduled Tribes population Female","Literates Population Person","Literates Population Male","Literates Population Female","Illiterate Persons","Illiterate Male","Illiterate Female","Total Worker Population Person","Total Worker Population Male","Total Worker Population Female","Main Working Population Person","Main Working Population Male","Main Working Population Female","Main Cultivator Population Person","Main Cultivator Population Male","Main Cultivator Population Female","Main Agricultural Labourers Population Person","Main Agricultural Labourers Population Male","Main Agricultural Labourers Population Female","Main Household Industries Population Person","Main Household Industries Population Male","Main Household Industries Population Female","Main Other Workers Population Person","Main Other Workers Population Male","Main Other Workers Population Female","Marginal Worker Population Person","Marginal Worker Population Male","Marginal Worker Population Female","Marginal Cultivator Population Person","Marginal Cultivator Population Male","Marginal Cultivator Population Female","Marginal Agriculture Labourers Population Person","Marginal Agriculture Labourers Population Male","Marginal Agriculture Labourers Population Female","Marginal Household Industries Population Person","Marginal Household Industries Population Male","Marginal Household Industries Population Female","Marginal Other Workers Population Person","Marginal Other Workers Population Male","Marginal Other Workers Population Female","Marginal Worker Population 3_6 Person","Marginal Worker Population 3_6 Male","Marginal Worker Population 3_6 Female","Marginal Cultivator Population 3_6 Person","Marginal Cultivator Population 3_6 Male","Marginal Cultivator Population 3_6 Female","Marginal Agriculture Labourers Population 3_6 Person","Marginal Agriculture Labourers Population 3_6 Male","Marginal Agriculture Labourers Population 3_6 Female","Marginal Household Industries Population 3_6 Person","Marginal Household Industries Population 3_6 Male","Marginal Household Industries Population 3-6 Female","Marginal Other Workers Population Person 3_6 Person","Marginal Other Workers Population Person 3_6 Male","Marginal Other Workers Population Person 3_6 Female","Marginal Worker Population 0_3 Person","Marginal Worker Population 0_3 Male","Marginal Worker Population 0_3_Female","Marginal Cultivator Population 0_3 Person","Marginal Cultivator Population 0_3 Male","Marginal Cultivator Population 0_3_Female","Marginal Agriculture Labourers Population 0_3 Person","Marginal Agriculture Labourers Population 0_3 Male","Marginal Agriculture Labourers Population 0_3 Female","Marginal Household Industries Population 0_3 Person","Marginal Household Industries Population 0_3 Male","Marginal Household Industries Population 0_3 Female","Marginal Other Workers Population 0_3 Person","Marginal Other Workers Population 0_3 Male","Marginal Other Workers Population 0_3 Female","Non Working Population Person","Non Working Population Male","Non Working Population Female"
"'14","'000","STATE","MANIPUR","Total","510448","2570390","1290171","1280219","338254","174700","163554","97042","48714","48328","902740","450887","451853","1768181","960015","808166","802209","330156","472053","1159053","665463","493590","855012","554518","300494","365712","232130","133582","43774","23603","20171","44586","13362","31224","400940","285423","115517","304041","110945","193096","92179","38769","53410","67287","20443","46844","44909","6613","38296","99666","45120","54546","239890","88390","151500","71513","29940","41573","49559","14842","34717","34997","5003","29994","83821","38605","45216","64151","22555","41596","20666","8829","11837","17728","5601","12127","9912","1610","8302","15845","6515","9330","1411337","624708","786629"
"'14","'000","STATE","MANIPUR","Rural","338109","1736236","878469","857767","236843","122659","114184","47563","24126","23437","791126","396464","394662","1142564","630291","512273","593672","248178","345494","813604","460140","353464","594331","381865","212466","327425","203897","123528","34373","18204","16169","27069","7820","19249","205464","151944","53520","219273","78275","140998","79972","33101","46871","52414","15607","36807","28588","3980","24608","58299","25587","32712","172232","61606","110626","61985","25577","36408","39218","11322","27896","22118","3007","19111","48911","21700","27211","47041","16669","30372","17987","7524","10463","13196","4285","8911","6470","973","5497","9388","3887","5501","922632","418329","504303"
"'14","'000","STATE","MANIPUR","Urban","172339","834154","411702","422452","101411","52041","49370","49479","24588","24891","111614","54423","57191","625617","329724","295893","208537","81978","126559","345449","205323","140126","260681","172653","88028","38287","28233","10054","9401","5399","4002","17517","5542","11975","195476","133479","61997","84768","32670","52098","12207","5668","6539","14873","4836","10037","16321","2633","13688","41367","19533","21834","67658","26784","40874","9528","4363","5165","10341","3520","6821","12879","1996","10883","34910","16905","18005","17110","5886","11224","2679","1305","1374","4532","1316","3216","3442","637","2805","6457","2628","3829","488705","206379","282326"
"'14","'272","DISTRICT","Senapati (Excluding 3 Sub-Divisions)","Total","36000","193744","98908","94836","26232","13679","12553","714","387","327","154528","77127","77401","124182","68169","56013","69562","30739","38823","88065","50198","37867","66574","41307","25267","48741","28955","19786","3204","1384","1820","847","413","434","13782","10555","3227","21491","8891","12600","10246","4629","5617","4149","1324","2825","2270","674","1596","4826","2264","2562","17331","7231","10100","8275","3808","4467","3461","1023","2438","1781","552","1229","3814","1848","1966","4160","1660","2500","1971","821","1150","688","301","387","489","122","367","1012","416","596","105679","48710","56969"
"'14","'272","DISTRICT","Senapati (Excluding 3 Sub-Divisions)","Rural","34563","186268","95188","91080","25216","13163","12053","711","386","325","148873","74349","74524","118683","65286","53397","67585","29902","37683","85466","48642","36824","64641","40063","24578","47811","28411","19400","3193","1377","1816","837","407","430","12800","9868","2932","20825","8579","12246","9966","4464","5502","4137","1314","2823","2257","666","1591","4465","2135","2330","16856","6946","9910","8024","3655","4369","3452","1015","2437","1771","546","1225","3609","1730","1879","3969","1633","2336","1942","809","1133","685","299","386","486","120","366","856","405","451","100802","46546","54256"
"'14","'272","DISTRICT","Senapati (Excluding 3 Sub-Divisions)","Urban","1437","7476","3720","3756","1016","516","500","3","1","2","5655","2778","2877","5499","2883","2616","1977","837","1140","2599","1556","1043","1933","1244","689","930","544","386","11","7","4","10","6","4","982","687","295","666","312","354","280","165","115","12","10","2","13","8","5","361","129","232","475","285","190","251","153","98","9","8","1","10","6","4","205","118","87","191","27","164","29","12","17","3","2","1","3","2","1","156","11","145","4877","2164","2713"
"'14","'273","DISTRICT","Tamenglong ","Total","25039","140651","72371","68280","19307","10072","9235","22","17","5","134626","68226","66400","85006","47403","37603","55645","24968","30677","70675","37237","33438","55979","30544","25435","42400","21366","21034","1023","455","568","994","393","601","11562","8330","3232","14696","6693","8003","6449","2852","3597","901","372","529","716","254","462","6630","3215","3415","12441","5714","6727","5172","2287","2885","724","301","423","471","139","332","6074","2987","3087","2255","979","1276","1277","565","712","177","71","106","245","115","130","556","228","328","69976","35134","34842"
"'14","'273","DISTRICT","Tamenglong ","Rural","21558","121288","62534","58754","16624","8701","7923","18","15","3","116023","58989","57034","70502","39729","30773","50786","22805","27981","63296","33052","30244","50465","27242","23223","40652","20570","20082","955","426","529","834","344","490","8024","5902","2122","12831","5810","7021","6004","2614","3390","840","342","498","549","175","374","5438","2679","2759","10752","4951","5801","4739","2059","2680","674","276","398","366","108","258","4973","2508","2465","2079","859","1220","1265","555","710","166","66","100","183","67","116","465","171","294","57992","29482","28510"
"'14","'273","DISTRICT","Tamenglong ","Urban","3481","19363","9837","9526","2683","1371","1312","4","2","2","18603","9237","9366","14504","7674","6830","4859","2163","2696","7379","4185","3194","5514","3302","2212","1748","796","952","68","29","39","160","49","111","3538","2428","1110","1865","883","982","445","238","207","61","30","31","167","79","88","1192","536","656","1689","763","926","433","228","205","50","25","25","105","31","74","1101","479","622","176","120","56","12","10","2","11","5","6","62","48","14","91","57","34","11984","5652","6332"
"'14","'274","DISTRICT","Churachandpur","Total","49089","274143","138820","135323","37445","19227","18218","443","244","199","254787","126328","128459","195935","104013","91922","78208","34807","43401","122655","70594","52061","89779","57558","32221","52630","32271","20359","3885","2010","1875","2411","1002","1409","30853","22275","8578","32876","13036","19840","12204","5114","7090","4397","1321","3076","2656","479","2177","13619","6122","7497","27477","10989","16488","9803","4201","5602","3537","1024","2513","2103","343","1760","12034","5421","6613","5399","2047","3352","2401","913","1488","860","297","563","553","136","417","1585","701","884","151488","68226","83262"
