"State Name","Sector","2004-05","2005-06","2006-07","2007-08","2008-09","2009-10","2010-11","2011-12","2012-13"
"Bihar","GSDP (2004-05 Prices)","77781","82490","100737","113680","142279","162923","204463","246995","308640"
"Bihar","Agriculture and Allied","24530","24786","31569","31603","42227","41153","54018","65102","76389"
"Bihar","Agriculture","20673","20827","27148","27049","36660","35476","48142","58113","68497"
"Bihar","Industry","10706","12164","15059","19456","24463","28772","40417","48212","60645"
"Bihar","Mining and Quarrying","42","97","74","78","143","122","117","116","116"
"Bihar","Manufacturing","4379","4256","4856","6429","8363","8281","11047","12705","14648"
"Bihar","Services","42545","45540","54109","62621","75590","92999","110028","133681","171606"
"Chandigarh","GSDP (2004-05 Prices)","8504","10185","12276","13669","15334","17717","20444","23487"
"Chandigarh","Agriculture and Allied","77","84","94","97","104","110","108","108"
"Chandigarh","Agriculture","70","77","85","88","96","102","99","98"
"Chandigarh","Industry","1452","1698","2441","2701","2061","2632","3138","3549"
"Chandigarh","Mining and Quarrying","0","0","0","0","0","0","0","0"
"Chandigarh","Manufacturing","561","586","745","866","889","1076","1443","1560"
"Chandigarh","Services","6975","8404","9742","10871","13168","14975","17198","19830"
"Chhattisgarh","GSDP (2004-05 Prices)","47862","53381","66875","80255","96972","99364","117978","139515","160188"
"Chhattisgarh","Agriculture and Allied","10159","12131","13309","16822","17276","19982","25272","28826","31966"
"Chhattisgarh","Agriculture","7057","8908","9679","12956","13143","15195","19441","22439","24656"
"Chhattisgarh","Industry","21221","22403","31808","37411","47720","42890","47679","56568","64252"
"Chhattisgarh","Mining and Quarrying","5367","6790","8107","9762","12082","9358","11298","13630","16378"
"Chhattisgarh","Manufacturing","10479","9182","14902","18012","20212","17072","17292","20235","22359"
"Chhattisgarh","Services","16482","18847","21757","26022","31975","36492","45027","54121","63970"
"Delhi","GSDP (2004-05 Prices)","100325","110406","124080","137961","155791","169839","185649","202726","220967"
"Delhi","Agriculture and Allied","1094","1057","1069","1039","1032","1309","1401","1436","1430"
"Delhi","Agriculture","1018","983","995","964","956","1231","1322","1356","1349"
"Delhi","Industry","18503","19526","20915","21979","23254","24530","26217","28005","30037"
"Delhi","Manufacturing","9757","10203","10580","10681","11047","11368","11867","12843","14847"
"Delhi","Services","80727","89824","102096","114943","131505","144000","158031","173285","189499"
"Goa","GSDP (2004-05 Prices)","12713","13672","15042","15875","17466","19248","21202","23192"
"Goa","Agriculture and Allied","998","1233","1036","1052","975","983","1018","1212"
"Goa","Agriculture","662","830","651","687","615","623","651","845"
"Goa","Industry","5971","6262","7176","7456","7995","8835","9571","9955"
"Goa","Mining and Quarrying","562","595","934","948","1116","1391","1297","1213"
"Goa","Manufacturing","3809","4006","4421","4577","4837","5252","5566","5829"
"Goa","Services","5745","6176","6829","7368","8496","9430","10613","12025"
"Gujarat","GSDP (2004-05 Prices)","203373","233776","253393","281273","300341","334127","367540","398884"
"Gujarat","Agriculture and Allied","32706","40262","39967","43456","40340","40042","48463","51525"
"Gujarat","Agriculture","26746","33982","33616","37155","33920","33544","41979","45085"
"Gujarat","Industry","81346","93251","102043","113070","120437","146026","155703","163826"
"Gujarat","Mining and Quarrying","7026","7186","7239","7283","6895","6951","7049","7152"
"Gujarat","Manufacturing","55443","65683","72537","78244","81582","102526","107974","112521"
"Gujarat","Services","89321","100263","111383","124747","139564","148059","163374","183533"
"Haryana","GSDP (2004-05 Prices)","95795","104608","116344","126171","136478","152474","165233","178179","190878"
"Haryana","Agriculture and Allied","22125","21725","24800","24785","26572","26188","27553","29886","30517"
"Haryana","Agriculture","20971","20533","23543","23476","25212","24771","26092","28365","28918"
"Haryana","Industry","31518","34195","37347","39809","41201","45904","48476","50483","53282"
"Haryana","Mining and Quarrying","195","359","343","356","328","166","68","76","74"
"Haryana","Manufacturing","20455","22022","24023","26052","26742","29577","31956","33015","34542"
"Haryana","Services","42152","48688","54198","61577","68705","80383","89203","97811","107079"
"Himachal Pradesh","GSDP (2004-05 Prices)","24077","26107","28481","30917","33210","35897","39036","41939","44554"
"Himachal","Agriculture and Allied","6133","6512","6467","7048","6983","6201","7426","7047","7678"
"Himachal","Agriculture","4747","4944","4693","5251","5161","4225","5443","5167","5827"
"Himachal","Industry","9240","10026","11384","12441","13623","15529","16020","17278","18151"
"Himachal","Mining and Quarrying","64","66","72","70","76","138","150","133","135"
"Himachal","Manufacturing","2772","2961","3353","3593","4566","6185","6205","6960","7396"
"Himachal","Services","8703","9569","10629","11428","12604","14167","15590","17614","18725"
"Jammu & Kashmir","GSDP (2004-05 Prices)","27305","28883","30602","32561","34664","36227","38275","40603","43097"
"Jammu","Agriculture and Allied","7662","7680","7761","7811","8110","8072","8746","9266","9548"
"Jammu","Agriculture","6100","6133","6234","6321","6601","6581","7282","7781","8039"
"Jammu","Industry","7708","8065","8853","9462","9500","9916","9660","9686","9759"
"Jammu","Mining & Quarrying","28","41","58","66","86","79","84","105","137"
"Jammu","Manufacturing","1672","1860","2131","2316","2555","2820","2899","2985","3077"
"Jammu","Services","11935","13138","13988","15288","17053","18239","19869","21651","23789"
"Jharkhand","GSDP (2004-05 Prices)","59758","57848","59226","71377","70129","77240","89491","95912","103426"
"Jharkhand","Agriculture and Allied","8917","9242","10405","10988","12809","12013","12550","13032","13730"
"Jharkhand","Agriculture","6795","7023","7995","8462","10198","9251","9722","10108","10698"
"Jharkhand","Industry","31162","27327","25656","34380","29029","30982","37585","41141","43127"
