state, d1, d2, d3, d4, d5, d6, d7, d8, d9, mpce_average, household_total, household_sample
Andhra Pradesh, 647, 759, 861, 959, 1058, 1180, 1355, 1510, 1904, 1234, 148374, 3924
Arunachal Pradesh, 686, 822, 951, 1065, 1231, 1448, 1770, 2151, 2780, 1546, 1706, 1041
Assam, 576, 656, 741, 815, 904, 1012, 1121, 1283, 1550, 1003, 48810, 2616
Bihar, 466, 535, 592, 653, 709, 776, 864, 966, 1165, 780, 142999, 3294
Chhattisgarh, 429, 517, 581, 626, 706, 763, 848, 988, 1243, 784, 40353, 1495
Delhi, 986, 1086, 1429, 1575, 1724, 1782, 2281, 2812, 3214, 2068, 2021, 57
Goa, 1102, 1417, 1672, 1775, 1981, 2050, 2256, 2659, 2979, 2065, 2301, 160
Gujarat, 620, 719, 808, 872, 971, 1105, 1210, 1390, 1638, 1110, 65945, 1720
Haryana, 749, 891, 1035, 1154, 1270, 1460, 1668, 1921, 2358, 1510, 31782, 1440
Himachal Pradesh, 842, 935, 1043, 1153, 1283, 1448, 1642, 1932, 2436, 1536, 12960, 1660
Jammu & Kashmir, 791, 914, 997, 1102, 1202, 1322, 1525, 1730, 1941, 1344, 11938, 1446
Jharkhand, 494, 560, 599, 648, 702, 783, 890, 1018, 1373, 825, 42264, 1758
Karnataka, 583, 652, 713, 800, 878, 977, 1114, 1307, 1589, 1020, 76532, 2038
Kerala, 846, 977, 1135, 1270, 1451, 1640, 1913, 2312, 3249, 1835, 56673, 2606
Madhya Pradesh, 456, 538, 608, 674, 762, 849, 978, 1169, 1458, 903, 98447, 2734
Maharashtra, 623, 763, 858, 938, 1045, 1143, 1265, 1424, 1707, 1153, 124261, 4012
Manipur, 718, 780, 838, 894, 963, 1027, 1108, 1239, 1399, 1027, 3069, 1376
Meghalaya, 722, 796, 892, 944, 1012, 1084, 1184, 1345, 1564, 1110, 4114, 864
Mizoram, 739, 887, 966, 1076, 1181, 1269, 1422, 1572, 1849, 1262, 937, 632
Nagaland, 984, 1089, 1175, 1262, 1387, 1459, 1590, 1729, 2033, 1476, 1509, 704
Orissa, 425, 516, 581, 641, 716, 790, 899, 1061, 1337, 818, 73798, 2974
Punjab, 813, 966, 1079, 1221, 1365, 1544, 1753, 2071, 2636, 1649, 31740, 1558
Rajasthan, 682, 784, 844, 927, 1003, 1107, 1218, 1386, 1666, 1179, 87698, 2575
Sikkim, 712, 829, 932, 1016, 1103, 1221, 1373, 1616, 2058, 1321, 1195, 608
Tamil Nadu, 602, 728, 827, 903, 1002, 1112, 1270, 1464, 1787, 1160, 98327, 3319
Tripura, 713, 820, 897, 989, 1054, 1135, 1269, 1460, 1760, 1176, 6818, 1311
Uttar Pradesh, 514, 590, 660, 722, 795, 875, 971, 1110, 1341, 899, 252276, 5908
Uttarakhand, 715, 813, 902, 993, 1086, 1200, 1395, 1639, 2349, 1747, 17813, 1045
West Bengal, 538, 632, 713, 782, 867, 943, 1040, 1171, 1447, 952, 137303, 3575
all-India, 537, 631, 718, 804, 895, 1001, 1133, 1322, 1653, 1054, 1626461, 59097
