state, d1, d2, d3, d4, d5, d6, d7, d8, d9, mpce_average, household_total, household_sample
Andhra Pradesh, 872, 1061, 1250, 1434, 1652, 1938, 2340, 2920, 4133, 2238, 60162, 2951
Arunachal Pradesh, 797, 1033, 1196, 1384, 1645, 1872, 2284, 2769, 3307, 1947, 515, 600
Assam, 674, 835, 1048, 1205, 1426, 1747, 1918, 2311, 3330, 1755, 6854, 832
Bihar, 542, 649, 768, 845, 943, 1149, 1308, 1584, 2143, 1238, 18097, 1270
Chhattisgarh, 649, 898, 1036, 1232, 1397, 1554, 1749, 2224, 2716, 1647, 8564, 736
Delhi, 1081, 1264, 1527, 1842, 2127, 2506, 3178, 3802, 4984, 2654, 29020, 808
Goa, 1215, 1544, 1900, 1988, 2247, 2555, 2954, 3529, 4295, 2644, 1015, 287
Gujarat, 830, 1006, 1144, 1353, 1604, 1911, 2199, 2622, 3290, 1909, 47241, 1698
Haryana, 851, 1147, 1415, 1615, 1926, 2057, 2394, 3031, 4321, 2321, 15324, 1180
Himachal Pradesh, 925, 1130, 1322, 1763, 2060, 2392, 2986, 3656, 4664, 2654, 1537, 382
Jammu & Kashmir, 865, 1025, 1175, 1309, 1452, 1643, 1875, 2181, 3049, 1759, 4040, 1269
Jharkhand, 616, 735, 857, 1053, 1230, 1482, 1666, 2036, 3060, 1584, 11002, 990
Karnataka, 781, 1009, 1210, 1433, 1690, 1919, 2219, 2593, 3725, 2053, 48084, 2037
Kerala, 830, 1082, 1264, 1547, 1751, 2018, 2477, 3074, 4175, 2413, 20532, 1845
Madhya Pradesh, 601, 753, 917, 1067, 1238, 1478, 1806, 2244, 3056, 1666, 32234, 1973
Maharashtra, 889, 1120, 1330, 1518, 1778, 2061, 2483, 3164, 4549, 2437, 97279, 3984
Manipur, 641, 804, 872, 929, 989, 1040, 1126, 1335, 1640, 1106, 1161, 1182
Meghalaya, 762, 1068, 1207, 1350, 1475, 1611, 1869, 2044, 2452, 1629, 896, 408
Mizoram, 840, 1265, 1509, 1699, 1845, 1981, 2128, 2442, 3022, 1947, 752, 896
Nagaland, 988, 1063, 1294, 1474, 1722, 1856, 2065, 2536, 3054, 1862, 599, 320
Orissa, 620, 769, 869, 1001, 1173, 1381, 1623, 1939, 2849, 1548, 12759, 1055
Punjab, 848, 1077, 1254, 1452, 1695, 1934, 2275, 2805, 3727, 2109, 18934, 1557
Rajasthan, 712, 878, 1032, 1223, 1359, 1558, 1779, 2216, 2974, 1663, 30579, 1551
Sikkim, 988, 1523, 1684, 1883, 1932, 2193, 2472, 2587, 2834, 2150, 216, 160
Tamil Nadu, 822, 1008, 1182, 1366, 1540, 1818, 2105, 2578, 3507, 1948, 82035, 3320
Tripura, 838, 958, 1148, 1322, 1509, 1782, 1983, 2369, 3359, 1871, 1587, 544
Uttar Pradesh, 606, 720, 848, 982, 1127, 1317, 1574, 1985, 2770, 1574, 71435, 3086
Uttarakhand, 726, 877, 1070, 1240, 1425, 1682, 1975, 2410, 3228, 1745, 5012, 730
West Bengal, 733, 890, 1030, 1224, 1435, 1722, 2006, 2576, 3690, 1965, 49559, 2749
all-India, 733, 926, 1101, 1293, 1502, 1773, 2097, 2603, 3665, 1984, 681770, 41697
