state, d1, d2, d3, d4, d5, d6, d7, d8, d9, mpce_average, household_total, household_sample
Andhra Pradesh, 561, 661, 749, 842, 934, 1029, 1158, 1343, 1744, 1090, 148374, 3928
Arunachal Pradesh, 581, 709, 792, 906, 1010, 1148, 1323, 1580, 2196, 1227, 1663, 1041
Assam, 512, 578, 636, 694, 771, 846, 960, 1113, 1340, 867, 48748, 2616
Bihar, 404, 466, 511, 562, 633, 688, 771, 869, 1040, 689, 143004, 3299
Chhattisgarh, 386, 459, 503, 540, 582, 641, 734, 865, 1080, 686, 40328, 1496
Delhi, 829, 975, 1017, 1310, 1490, 1787, 2076, 2442, 2714, 1714, 2021, 59
Goa, 879, 1205, 1271, 1312, 1509, 1608, 1701, 2148, 2434, 1673, 2301, 159
Gujarat, 585, 665, 755, 827, 923, 1002, 1119, 1316, 1578, 1065, 65945, 1719
Haryana, 658, 814, 943, 1095, 1243, 1415, 1617, 1864, 2376, 1423, 31782, 1440
Himachal Pradesh, 721, 829, 930, 1046, 1154, 1297, 1524, 1793, 2244, 1413, 12960, 1660
Jammu & Kashmir, 752, 865, 931, 1018, 1102, 1190, 1318, 1489, 1831, 1244, 11938, 1445
Jharkhand, 418, 495, 545, 602, 668, 723, 790, 913, 1095, 724, 42254, 1758
Karnataka, 510, 576, 649, 724, 773, 863, 959, 1098, 1367, 888, 76532, 2036
Kerala, 741, 894, 1042, 1163, 1301, 1500, 1786, 2220, 2831, 1763, 56673, 2606
Madhya Pradesh, 399, 477, 543, 614, 676, 757, 848, 1016, 1295, 803, 97325, 2731
Maharashtra, 569, 659, 750, 826, 913, 1024, 1157, 1304, 1667, 1048, 124287, 4015
Manipur, 681, 726, 787, 839, 884, 941, 1007, 1115, 1287, 959, 3069, 1376
Meghalaya, 645, 717, 786, 836, 895, 967, 1025, 1121, 1353, 967, 4114, 864
Mizoram, 672, 782, 837, 927, 991, 1102, 1201, 1368, 1628, 1098, 932, 632
Nagaland, 949, 1020, 1088, 1154, 1233, 1348, 1486, 1616, 1983, 1379, 1509, 704
Orissa, 370, 457, 510, 569, 630, 695, 778, 897, 1115, 716, 73713, 2975
Punjab, 772, 901, 1030, 1157, 1299, 1462, 1647, 1948, 2477, 1566, 31635, 1560
Rajasthan, 612, 696, 781, 861, 930, 1009, 1106, 1262, 1578, 1035, 87698, 2583
Sikkim, 661, 763, 869, 944, 1011, 1144, 1309, 1474, 2026, 1235, 1195, 608
Tamil Nadu, 532, 629, 713, 797, 872, 966, 1087, 1247, 1642, 1017, 98327, 3320
Tripura, 604, 664, 758, 827, 917, 993, 1078, 1183, 1403, 980, 6816, 1312
Uttar Pradesh, 473, 550, 608, 667, 731, 793, 895, 1021, 1267, 832, 252240, 5906
Uttarakhand, 682, 763, 848, 922, 1024, 1110, 1287, 1491, 2114, 1695, 17759, 1048
West Bengal, 498, 578, 648, 700, 768, 842, 918, 1033, 1249, 858, 137295, 3576
all-India, 479, 569, 645, 721, 801, 895, 1013, 1186, 1525, 953, 1624934, 59119
