state, d1, d2, d3, d4, d5, d6, d7, d8, d9, mpce_average, household_total, household_sample
Andhra Pradesh, 777, 956, 1117, 1294, 1491, 1821, 2257, 2844, 3717, 2015, 60157, 2964
Arunachal Pradesh, 660, 843, 1001, 1212, 1387, 1577, 1832, 2185, 2734, 1602, 506, 600
Assam, 642, 807, 938, 1114, 1353, 1545, 1790, 2036, 2898, 1604, 6826, 832
Bihar, 493, 569, 678, 783, 878, 999, 1145, 1379, 1917, 1097, 18089, 1272
Chhattisgarh, 583, 741, 876, 954, 1137, 1341, 1580, 1888, 2275, 1370, 8535, 736
Delhi, 935, 1136, 1306, 1562, 1812, 2242, 2681, 3385, 4571, 2412, 29167, 842
Goa, 1171, 1348, 1611, 1758, 2019, 2278, 2460, 2787, 3204, 2219, 1015, 285
Gujarat, 806, 1001, 1173, 1403, 1634, 1909, 2163, 2545, 3303, 1914, 47241, 1705
Haryana, 764, 919, 1085, 1275, 1439, 1824, 2196, 2836, 3775, 2008, 15324, 1180
Himachal Pradesh, 814, 1015, 1257, 1579, 1815, 2260, 2691, 3294, 3872, 2315, 1514, 381
Jammu & Kashmir, 786, 935, 1059, 1190, 1301, 1469, 1695, 2036, 2623, 1667, 4040, 1268
Jharkhand, 555, 689, 811, 949, 1109, 1334, 1637, 2054, 2727, 1442, 10970, 989
Karnataka, 725, 915, 1122, 1330, 1551, 1827, 2190, 2627, 3455, 2060, 48084, 2034
Kerala, 787, 946, 1135, 1345, 1608, 1880, 2288, 2862, 3993, 2267, 20450, 1846
Madhya Pradesh, 581, 718, 848, 984, 1120, 1349, 1608, 1931, 2690, 1530, 32133, 1966
Maharashtra, 802, 1001, 1214, 1425, 1655, 1939, 2320, 2960, 4031, 2251, 97403, 3980
Manipur, 625, 779, 843, 911, 971, 1035, 1117, 1297, 1553, 1062, 1161, 1182
Meghalaya, 762, 904, 1064, 1214, 1384, 1498, 1708, 1966, 2344, 1505, 896, 408
Mizoram, 909, 1129, 1335, 1530, 1677, 1845, 2012, 2258, 2743, 1779, 747, 896
Nagaland, 993, 1076, 1264, 1425, 1598, 1726, 1843, 2141, 2796, 1732, 599, 320
Orissa, 575, 690, 764, 891, 1047, 1259, 1527, 1869, 2828, 1469, 12717, 1055
Punjab, 803, 1001, 1167, 1360, 1534, 1796, 2223, 2720, 3845, 2072, 18850, 1555
Rajasthan, 702, 846, 962, 1100, 1266, 1453, 1680, 2036, 2650, 1577, 30573, 1553
Sikkim, 1103, 1515, 1701, 1990, 2031, 2059, 2413, 2544, 2601, 2100, 216, 160
Tamil Nadu, 763, 912, 1052, 1219, 1428, 1677, 1958, 2400, 3178, 1795, 82034, 3318
Tripura, 786, 936, 1035, 1196, 1430, 1666, 1978, 2294, 2956, 1675, 1585, 544
Uttar Pradesh, 562, 676, 781, 900, 1053, 1228, 1453, 1827, 2649, 1512, 71317, 3087
Uttarakhand, 698, 845, 987, 1100, 1310, 1547, 1828, 2269, 3027, 1643, 5012, 731
West Bengal, 683, 803, 934, 1098, 1280, 1515, 1833, 2319, 3392, 1801, 49549, 2750
all-India, 682, 846, 1004, 1179, 1382, 1638, 1962, 2459, 3385, 1856, 681457, 41736
