state, d1, d2, d3, d4, d5, d6, d7, d8, d9, mpce_average, household_total, household_sample
Andhra Pradesh, 729, 898, 1041, 1211, 1404, 1726, 2065, 2588, 3414, 1982, 60157, 2964
Arunachal Pradesh, 642, 813, 961, 1150, 1334, 1634, 1885, 2357, 3017, 1649, 506, 600
Assam, 623, 766, 873, 1058, 1283, 1550, 1783, 2114, 2946, 1540, 6826, 832
Bihar, 467, 534, 667, 744, 844, 969, 1157, 1407, 1837, 1092, 18089, 1272
Chhattisgarh, 519, 691, 822, 952, 1123, 1288, 1529, 1762, 2297, 1352, 8535, 736
Delhi, 874, 1034, 1242, 1434, 1696, 2015, 2475, 3163, 4046, 2182, 29167, 842
Goa, 1124, 1308, 1454, 1651, 1879, 2132, 2377, 2695, 3294, 2750, 1015, 285
Gujarat, 743, 937, 1117, 1314, 1536, 1738, 1988, 2308, 3027, 1859, 47241, 1705
Haryana, 755, 855, 1004, 1159, 1389, 1735, 2170, 2527, 3561, 1898, 15324, 1180
Himachal Pradesh, 812, 1010, 1197, 1362, 1737, 2061, 2379, 2749, 3271, 2322, 1514, 381
Jammu & Kashmir, 791, 919, 1027, 1179, 1328, 1510, 1732, 2046, 2538, 1654, 4040, 1268
Jharkhand, 507, 650, 756, 924, 1072, 1280, 1583, 2016, 2713, 1391, 10970, 989
Karnataka, 658, 828, 1004, 1182, 1413, 1672, 1929, 2306, 3035, 1716, 48084, 2034
Kerala, 726, 899, 1089, 1273, 1513, 1776, 2127, 2724, 3899, 2663, 20450, 1846
Madhya Pradesh, 539, 681, 822, 942, 1096, 1304, 1579, 1888, 2544, 1469, 32133, 1966
Maharashtra, 736, 928, 1143, 1328, 1535, 1821, 2149, 2722, 4077, 2232, 97403, 3980
Manipur, 593, 740, 817, 887, 940, 1001, 1102, 1287, 1526, 1053, 1161, 1182
Meghalaya, 733, 852, 996, 1158, 1321, 1432, 1566, 1881, 2439, 1456, 896, 408
Mizoram, 819, 1081, 1280, 1450, 1650, 1756, 1992, 2219, 2634, 1707, 747, 896
Nagaland, 932, 1039, 1278, 1408, 1516, 1612, 1782, 2164, 2841, 1710, 599, 320
Orissa, 538, 653, 741, 865, 962, 1166, 1458, 1785, 2486, 1425, 12717, 1055
Punjab, 758, 932, 1075, 1260, 1452, 1694, 2042, 2589, 3682, 1993, 18850, 1555
Rajasthan, 661, 815, 917, 1045, 1206, 1364, 1592, 1877, 2489, 1670, 30573, 1553
Sikkim, 951, 1227, 1561, 1619, 1840, 1918, 2128, 2285, 2416, 1876, 216, 160
Tamil Nadu, 705, 827, 978, 1136, 1331, 1551, 1822, 2285, 2954, 1679, 82034, 3318
Tripura, 726, 869, 1003, 1114, 1335, 1568, 1887, 2186, 2805, 1602, 1585, 544
Uttar Pradesh, 538, 637, 755, 869, 1019, 1204, 1419, 1773, 2554, 1365, 71317, 3087
Uttarakhand, 647, 770, 934, 1031, 1263, 1462, 1764, 2193, 2748, 1573, 5012, 731
West Bengal, 624, 763, 904, 1065, 1244, 1485, 1808, 2291, 3404, 1736, 49549, 2750
all-India, 642, 797, 945, 1114, 1307, 1543, 1843, 2303, 3166, 1786, 681457, 41736
		 
MPCEMRP Rural
state, d1, d2, d3, d4, d5, d6, d7, d8, d9, mpce_average, household_total, household_sample
Andhra Pradesh, 561, 661, 749, 842, 934, 1029, 1158, 1343, 1744, 1090, 148374, 3928
Arunachal Pradesh, 581, 709, 792, 906, 1010, 1148, 1323, 1580, 2196, 1227, 1663, 1041
Assam, 512, 578, 636, 694, 771, 846, 960, 1113, 1340, 867, 48748, 2616
Bihar, 404, 466, 511, 562, 633, 688, 771, 869, 1040, 689, 143004, 3299
Chhattisgarh, 386, 459, 503, 540, 582, 641, 734, 865, 1080, 686, 40328, 1496
Delhi, 829, 975, 1017, 1310, 1490, 1787, 2076, 2442, 2714, 1714, 2021, 59
Goa, 879, 1205, 1271, 1312, 1509, 1608, 1701, 2148, 2434, 1673, 2301, 159
Gujarat, 585, 665, 755, 827, 923, 1002, 1119, 1316, 1578, 1065, 65945, 1719
Haryana, 658, 814, 943, 1095, 1243, 1415, 1617, 1864, 2376, 1423, 31782, 1440
Himachal Pradesh, 721, 829, 930, 1046, 1154, 1297, 1524, 1793, 2244, 1413, 12960, 1660
Jammu & Kashmir, 752, 865, 931, 1018, 1102, 1190, 1318, 1489, 1831, 1244, 11938, 1445
Jharkhand, 418, 495, 545, 602, 668, 723, 790, 913, 1095, 724, 42254, 1758
Karnataka, 510, 576, 649, 724, 773, 863, 959, 1098, 1367, 888, 76532, 2036
Kerala, 741, 894, 1042, 1163, 1301, 1500, 1786, 2220, 2831, 1763, 56673, 2606
Madhya Pradesh, 399, 477, 543, 614, 676, 757, 848, 1016, 1295, 803, 97325, 2731
Maharashtra, 569, 659, 750, 826, 913, 1024, 1157, 1304, 1667, 1048, 124287, 4015
Manipur, 681, 726, 787, 839, 884, 941, 1007, 1115, 1287, 959, 3069, 1376
Meghalaya, 645, 717, 786, 836, 895, 967, 1025, 1121, 1353, 967, 4114, 864
Mizoram, 672, 782, 837, 927, 991, 1102, 1201, 1368, 1628, 1098, 932, 632
Nagaland, 949, 1020, 1088, 1154, 1233, 1348, 1486, 1616, 1983, 1379, 1509, 704
Orissa, 370, 457, 510, 569, 630, 695, 778, 897, 1115, 716, 73713, 2975
Punjab, 772, 901, 1030, 1157, 1299, 1462, 1647, 1948, 2477, 1566, 31635, 1560
Rajasthan, 612, 696, 781, 861, 930, 1009, 1106, 1262, 1578, 1035, 87698, 2583
Sikkim, 661, 763, 869, 944, 1011, 1144, 1309, 1474, 2026, 1235, 1195, 608
Tamil Nadu, 532, 629, 713, 797, 872, 966, 1087, 1247, 1642, 1017, 98327, 3320
